TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY
agent_memories,id,bigint,NO,PRI
agent_memories,user_id,int,NO,MUL
agent_memories,namespace,varchar,NO,
agent_memories,file_path,varchar,NO,MUL
agent_memories,content,text,YES,
agent_memories,extra_data,text,YES,
agent_memories,created_at,datetime,NO,
agent_memories,updated_at,datetime,NO,MUL
ai_interview_question,id,bigint,NO,PRI
ai_interview_question,schedule_id,bigint,NO,MUL
ai_interview_question,question_index,int,NO,
ai_interview_question,question_text,text,NO,
ai_interview_question,created_at,datetime,NO,
ai_interview_recording,id,bigint,NO,PRI
ai_interview_recording,session_id,bigint,NO,MUL
ai_interview_recording,phase,varchar,NO,
ai_interview_recording,question_id,bigint,YES,
ai_interview_recording,file_path,varchar,NO,
ai_interview_recording,file_size,bigint,YES,
ai_interview_recording,duration_sec,int,YES,
ai_interview_recording,created_at,datetime,NO,
ai_interview_retry_grant,id,bigint,NO,PRI
ai_interview_retry_grant,schedule_id,bigint,NO,MUL
ai_interview_retry_grant,user_id,int,NO,
ai_interview_retry_grant,granted_by,int,NO,
ai_interview_retry_grant,reason,text,YES,
ai_interview_retry_grant,is_used,tinyint,NO,
ai_interview_retry_grant,created_at,datetime,NO,
ai_interview_schedule,id,bigint,NO,PRI
ai_interview_schedule,cohort_id,int,YES,
ai_interview_schedule,start_date,datetime,NO,
ai_interview_schedule,end_date,datetime,NO,
ai_interview_schedule,max_attempts,int,NO,
ai_interview_schedule,is_active,tinyint,NO,
ai_interview_schedule,created_at,datetime,NO,
ai_interview_schedule,updated_at,datetime,NO,
ai_interview_session,id,bigint,NO,PRI
ai_interview_session,schedule_id,bigint,NO,MUL
ai_interview_session,user_id,int,NO,
ai_interview_session,attempt_number,int,NO,
ai_interview_session,status,varchar,NO,
ai_interview_session,presentation_duration_sec,int,YES,
ai_interview_session,qa_duration_sec,int,YES,
ai_interview_session,answered_count,int,YES,
ai_interview_session,submitted_at,datetime,YES,
ai_interview_session,created_at,datetime,NO,
ai_interview_session,updated_at,datetime,NO,
ai_interview_session_log,id,bigint,NO,PRI
ai_interview_session_log,session_id,bigint,NO,MUL
ai_interview_session_log,event_type,varchar,NO,
ai_interview_session_log,event_payload,json,YES,
ai_interview_session_log,logged_at,datetime,NO,
announcement,id,bigint,NO,PRI
announcement,title,varchar,NO,
announcement,content,text,NO,
announcement,target_type,varchar,NO,
announcement,target_cohort_ids,json,YES,
announcement,display_start_dt,datetime,NO,
announcement,display_end_dt,datetime,NO,
announcement,is_popup,tinyint,NO,
announcement,is_active,tinyint,NO,
announcement,created_by,int,NO,MUL
announcement,create_dt,datetime,YES,
announcement,update_dt,datetime,YES,
announcement_read_status,id,bigint,NO,PRI
announcement_read_status,announcement_id,bigint,NO,MUL
announcement_read_status,user_id,int,NO,MUL
announcement_read_status,read_dt,datetime,YES,
announcement_read_status,do_not_show_again,tinyint,NO,
block,id,varchar,NO,PRI
block,document_id,varchar,NO,MUL
block,parent_id,varchar,YES,MUL
block,type,varchar,NO,
block,props,json,NO,
block,content,json,NO,
block,order_index,int,NO,
bootcamp_cohort_statistics,id,int,NO,PRI
bootcamp_cohort_statistics,cohort_id,int,NO,UNI
bootcamp_cohort_statistics,cohort_name,varchar,NO,
bootcamp_cohort_statistics,total_users,int,YES,
bootcamp_cohort_statistics,statistics,json,YES,
bootcamp_cohort_statistics,updated_at,datetime,NO,MUL
bootcamp_cohort_statistics,created_at,datetime,NO,
bootcamp_evaluation_criteria,id,int,NO,PRI
bootcamp_evaluation_criteria,criteria_uuid,varchar,NO,MUL
bootcamp_evaluation_criteria,name,varchar,NO,
bootcamp_evaluation_criteria,version,varchar,NO,
bootcamp_evaluation_criteria,criteria,json,NO,
bootcamp_evaluation_criteria,is_active,tinyint,YES,
bootcamp_evaluation_criteria,group_id,int,YES,MUL
bootcamp_evaluation_criteria,created_by,int,YES,
bootcamp_evaluation_criteria,created_at,datetime,YES,
bootcamp_evaluation_criteria,updated_at,datetime,YES,
bootcamp_evaluation_criteria,language,varchar,YES,
bootcamp_evaluation_progress,id,int,NO,PRI
bootcamp_evaluation_progress,cohort_id,int,NO,
bootcamp_evaluation_progress,total_users,int,NO,
bootcamp_evaluation_progress,completed_users,int,NO,
bootcamp_evaluation_progress,failed_users,int,NO,
bootcamp_evaluation_progress,status,enum,YES,
bootcamp_evaluation_progress,started_by,int,YES,
bootcamp_evaluation_progress,started_at,datetime,YES,
bootcamp_evaluation_progress,completed_at,datetime,YES,
bootcamp_evaluation_progress,error_message,text,YES,
bootcamp_evaluation_progress,criteria_id,int,YES,MUL
bootcamp_evaluation_progress,created_at,datetime,YES,
bootcamp_evaluation_progress,updated_at,datetime,YES,
chat_message,id,varchar,NO,PRI
chat_message,session_id,varchar,NO,MUL
chat_message,role,varchar,NO,
chat_message,content,text,NO,
chat_message,timestamp,datetime,NO,
chat_messages,id,bigint,NO,PRI
chat_messages,chat_id,varchar,NO,MUL
chat_messages,user_id,bigint,YES,
chat_messages,role,varchar,NO,
chat_messages,content,text,NO,
chat_messages,created_at,datetime,YES,
chat_sessions,id,varchar,NO,PRI
chat_sessions,user_id,bigint,YES,
chat_sessions,title,varchar,YES,
chat_sessions,created_at,datetime,YES,
chat_sessions,updated_at,datetime,YES,
chat_sessions,lecture_id,int,YES,
chat_summaries,chat_id,varchar,NO,PRI
chat_summaries,user_id,bigint,NO,
chat_summaries,summary,text,NO,
chat_summaries,updated_at,datetime,YES,
checklist_criteria,id,bigint,NO,PRI
checklist_criteria,evaluation_criteria_id,bigint,NO,MUL
checklist_criteria,status,enum,NO,
checklist_criteria,is_deleted,tinyint,NO,
checklist_criteria,checklist,json,NO,
checklist_criteria,max_score,float,NO,
checklist_criteria,create_dt,datetime,YES,
checklist_criteria,update_dt,datetime,YES,
code_review_log,id,int,NO,PRI
code_review_log,user_id,int,NO,
code_review_log,user_identifier,varchar,NO,
code_review_log,lecture_id,int,NO,
code_review_log,language,varchar,NO,
code_review_log,is_final_project,int,NO,
code_review_log,status,enum,NO,
code_review_log,model_name,varchar,YES,
code_review_log,input_tokens,int,YES,
code_review_log,output_tokens,int,YES,
code_review_log,total_tokens,int,YES,
code_review_log,tool_calls_count,int,NO,
code_review_log,tool_calls_detail,json,YES,
code_review_log,review_html,text,YES,
code_review_log,review_length,int,YES,
code_review_log,error_message,text,YES,
code_review_log,started_at,datetime,NO,
code_review_log,completed_at,datetime,YES,
code_review_log,duration_ms,int,YES,
code_review_log,review_metadata,json,YES,
coding_criteria,id,bigint,NO,PRI
coding_criteria,evaluation_criteria_id,bigint,NO,MUL
coding_criteria,is_deleted,tinyint,NO,
coding_criteria,expected_output_format,varchar,YES,
coding_criteria,max_score,float,YES,
coding_criteria,create_dt,datetime,YES,
coding_criteria,update_dt,datetime,YES,
coding_evaluation_script,id,bigint,NO,PRI
